                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2535,                 1.0379,                 1.1988,                0.79867,                0.73478,                0.82845,                0.47506,                 1.4172,                 1.7064,                 1.5566,               0.003466,               0.003466,               0.003466
                     35,                  1.225,                  1.043,                 1.1926,                0.76702,                0.76131,                0.82769,                 0.4871,                 1.3743,                 1.7235,                 1.5419,               0.003268,               0.003268,               0.003268
                     36,                 1.1556,                 1.0067,                 1.1632,                0.82318,                0.75703,                0.84988,                0.51027,                 1.4071,                 1.6637,                 1.5449,                0.00307,                0.00307,                0.00307
                     37,                 1.2183,                0.98127,                 1.1627,                 0.7587,                 0.8163,                0.83702,                 0.4919,                 1.4252,                 1.6644,                 1.5572,               0.002872,               0.002872,               0.002872
                     38,                 1.1632,                0.96995,                 1.1595,                0.82133,                0.76855,                0.83489,                0.48129,                  1.455,                 1.6626,                 1.5799,               0.002674,               0.002674,               0.002674
                     39,                 1.1947,                0.98554,                 1.1668,                0.79412,                0.77795,                0.80433,                0.45882,                 1.4708,                 1.6893,                 1.5993,               0.002476,               0.002476,               0.002476
                     40,                 1.1947,                 1.1847,                 1.2171,                0.78191,                0.75483,                  0.803,                0.44866,                 1.5442,                 1.8151,                 1.6422,               0.002278,               0.002278,               0.002278
                     41,                 1.1422,                 1.0812,                  1.194,                 0.8013,                0.74551,                0.81699,                0.45001,                 1.5325,                 1.7524,                 1.6306,                0.00208,                0.00208,                0.00208
                     42,                 1.1298,                 1.0705,                 1.1766,                0.84778,                0.75098,                0.83145,                0.46255,                 1.5251,                 1.6896,                 1.6267,               0.001882,               0.001882,               0.001882
                     43,                 1.1097,                0.99928,                 1.1497,                0.84203,                0.76526,                0.83506,                0.48251,                 1.4788,                 1.6649,                 1.6042,               0.001684,               0.001684,               0.001684
                     44,                 1.0892,                0.99241,                 1.1172,                0.76383,                0.80046,                0.81393,                0.46771,                 1.5028,                 1.6388,                  1.636,               0.001486,               0.001486,               0.001486
                     45,                 1.1011,                 1.0126,                  1.144,                 0.7144,                0.82113,                0.80446,                0.46442,                 1.4822,                 1.6385,                 1.6151,               0.001288,               0.001288,               0.001288
                     46,                 1.1062,                0.98667,                 1.1518,                0.75548,                0.74328,                0.79153,                0.45912,                 1.4869,                 1.6491,                 1.6238,                0.00109,                0.00109,                0.00109
                     47,                 1.0495,                0.94878,                 1.1211,                0.81039,                0.74306,                0.82051,                0.46393,                 1.5028,                 1.5745,                 1.6376,               0.000892,               0.000892,               0.000892
                     48,                 1.0563,                 0.9514,                 1.1401,                0.82569,                0.79524,                0.83187,                0.47431,                 1.4782,                  1.553,                 1.6213,               0.000694,               0.000694,               0.000694
                     49,                 1.0603,                0.96473,                 1.1227,                0.82319,                 0.7745,                0.82016,                0.48071,                 1.4514,                 1.5224,                 1.6063,               0.000496,               0.000496,               0.000496
